,tconst,movie,runtime_minutes,genres,average_rating,release_date,production_budget,domestic_gross,worldwide_gross,Collections,Profit,release_year,Month,release_month,release_season,release_quarter
2309,tt2379713,spectre,148,"Action,Adventure,Thriller",6.8,2015-11-06,300000000,200074175,879620923,1079695098,779695098,2015,November,11,Fall,Q4
2808,tt3659388,themartian,144,"Adventure,Drama,Sci-Fi",8.0,2015-10-02,108000000,228433663,655271443,883705106,775705106,2015,October,10,Fall,Q4
1770,tt1951266,thehungergamesmockingjaypart2,137,"Action,Adventure,Sci-Fi",6.6,2015-11-20,160000000,281723902,648986787,930710689,770710689,2015,November,11,Fall,Q4
424,tt1228705,ironman2,124,"Action,Adventure,Sci-Fi",7.0,2010-05-07,170000000,312433331,621156389,933589720,763589720,2010,May,5,spring,Q2
716,tt1411697,thehangoverpartii,102,"Comedy,Mystery",6.5,2011-05-26,80000000,254464305,586464305,840928610,760928610,2011,May,5,spring,Q2
1924,tt2103281,dawnoftheplanetoftheapes,130,"Action,Adventure,Drama",7.6,2014-07-11,170000000,208545589,710644566,919190155,749190155,2014,July,7,summer,Q3
385,tt1211837,doctorstrange,115,"Action,Adventure,Fantasy",7.5,2016-11-04,165000000,232641920,676404566,909046486,744046486,2016,November,11,Fall,Q4
2769,tt3521164,moana,107,"Adventure,Animation,Comedy",7.6,2016-11-23,150000000,248757044,637517365,886274409,736274409,2016,November,11,Fall,Q4
83,tt0770828,manofsteel,143,"Action,Adventure,Sci-Fi",7.1,2013-06-14,225000000,291045518,667999518,959045036,734045036,2013,June,6,summer,Q2
1536,tt1790809,piratesofthecaribbeandeadmentellnotales,129,"Action,Adventure,Fantasy",6.6,2017-05-26,230000000,172558876,788241137,960800013,730800013,2017,May,5,spring,Q2
592,tt1323594,despicableme,95,"Animation,Comedy,Family",7.7,2010-07-09,69000000,251513985,543464573,794978558,725978558,2010,July,7,summer,Q3
1229,tt1637725,ted,106,"Comedy,Fantasy",6.9,2012-06-29,50000000,218665740,556016627,774682367,724682367,2012,June,6,summer,Q2
1120,tt1596343,fastfive,130,"Action,Crime,Thriller",7.3,2011-04-29,125000000,210031325,630163454,840194779,715194779,2011,April,4,spring,Q2
888,tt1483010,logan,94,"Comedy,Drama,Family",6.2,2017-03-03,127000000,226277068,615461394,841738462,714738462,2017,March,3,spring,Q1
1692,tt1872181,theamazingspiderman2,142,"Action,Adventure,Sci-Fi",6.6,2014-05-02,200000000,202853933,708996336,911850269,711850269,2014,May,5,spring,Q2
3060,tt5095030,antmanandthewasp,118,"Action,Adventure,Comedy",7.1,2018-07-06,130000000,216648740,623144660,839793400,709793400,2018,July,7,summer,Q3
2169,tt2245084,bighero6,102,"Action,Adventure,Animation",7.8,2014-11-07,165000000,222527828,652127828,874655656,709655656,2014,November,11,Fall,Q4
1803,tt1981115,thorthedarkworld,112,"Action,Adventure,Fantasy",6.9,2013-11-08,150000000,206362140,644602516,850964656,700964656,2013,November,11,Fall,Q4
2269,tt2322441,fiftyshadesofgrey,125,"Drama,Romance,Thriller",4.1,2015-02-13,40000000,166167230,570998101,737165331,697165331,2015,February,2,winter/holiday,Q1
108,tt0816692,interstellar,169,"Adventure,Drama,Sci-Fi",8.6,2014-11-05,165000000,188017894,666379375,854397269,689397269,2014,November,11,Fall,Q4
555,tt1302011,kungfupanda2,90,"Action,Adventure,Animation",7.2,2011-05-26,150000000,165249063,664837547,830086610,680086610,2011,May,5,spring,Q2
911,tt1490017,thelegomovie,100,"Action,Adventure,Animation",7.8,2014-02-07,60000000,257784718,457729388,715514106,655514106,2014,February,2,winter/holiday,Q1
1250,tt1646971,howtotrainyourdragon2,102,"Action,Adventure,Animation",7.8,2014-06-13,145000000,177002924,614586270,791589194,646589194,2014,June,6,summer,Q2
1287,tt1661199,cinderella,105,"Drama,Family,Fantasy",6.9,2015-03-13,95000000,201151353,534551353,735702706,640702706,2015,March,3,spring,Q1
3070,tt5220122,hoteltransylvania3summervacation,97,"Adventure,Animation,Comedy",6.3,2018-07-13,65000000,167500092,527079962,694580054,629580054,2018,July,7,summer,Q3
39,tt0454876,lifeofpi,127,"Adventure,Drama,Fantasy",7.9,2012-11-21,120000000,124987022,620912003,745899025,625899025,2012,November,11,Fall,Q4
64,tt0481499,thecroods,98,"Action,Adventure,Animation",7.2,2013-03-22,135000000,187168425,573068425,760236850,625236850,2013,March,3,spring,Q1
712,tt1409024,meninblack3,106,"Action,Adventure,Comedy",6.8,2012-05-25,215000000,179020854,654213485,833234339,618234339,2012,May,5,spring,Q2
2248,tt2304901,sherlockholmes,77,Adventure,5.4,2009-12-25,90000000,209028679,498438212,707466891,617466891,2009,December,12,winter/holiday,Q4
972,tt1517451,astarisborn,136,"Drama,Music,Romance",7.8,2018-10-05,36000000,215288866,433449571,648738437,612738437,2018,October,10,Fall,Q4
2907,tt4123430,fantasticbeaststhecrimesofgrindelwald,134,"Adventure,Family,Fantasy",6.6,2018-11-16,200000000,159555901,652220086,811775987,611775987,2018,November,11,Fall,Q4
406,tt1217209,brave,93,"Adventure,Animation,Comedy",7.1,2012-06-22,185000000,237282182,554606532,791888714,606888714,2012,June,6,summer,Q2
965,tt1515091,sherlockholmesagameofshadows,129,"Action,Adventure,Crime",7.5,2011-12-16,125000000,186848418,535663443,722511861,597511861,2011,December,12,winter/holiday,Q4
49,tt0472181,thesmurfs,103,"Adventure,Animation,Comedy",5.5,2011-07-29,110000000,142614158,563749323,706363481,596363481,2011,July,7,summer,Q3
183,tt0974015,justiceleague,120,"Action,Adventure,Fantasy",6.5,2017-11-17,300000000,229024295,655945209,884969504,584969504,2017,November,11,Fall,Q4
1292,tt1663202,therevenant,156,"Action,Adventure,Biography",8.0,2015-12-25,135000000,183637894,532938302,716576196,581576196,2015,December,12,winter/holiday,Q4
31,tt0448694,pussinboots,90,"Action,Adventure,Animation",6.6,2011-10-28,130000000,149260504,554987477,704247981,574247981,2011,October,10,Fall,Q4
117,tt0831387,godzilla,123,"Action,Adventure,Sci-Fi",6.4,2014-05-16,160000000,200676069,529076069,729752138,569752138,2014,May,5,spring,Q2
59,tt0478970,antman,117,"Action,Adventure,Comedy",7.3,2015-07-17,130000000,180202163,518858449,699060612,569060612,2015,July,7,summer,Q3
1322,tt1677720,readyplayerone,140,"Action,Adventure,Sci-Fi",7.5,2018-03-29,150000000,137690172,579290136,716980308,566980308,2018,March,3,spring,Q1
2867,tt3874544,thebossbaby,97,"Adventure,Animation,Comedy",6.3,2017-03-31,125000000,175003033,510878762,685881795,560881795,2017,March,3,spring,Q1
2400,tt2510894,hoteltransylvania2,89,"Animation,Comedy,Family",6.7,2015-09-25,80000000,169700110,469500298,639200408,559200408,2015,September,9,Fall,Q3
2845,tt3783958,lalaland,128,"Comedy,Drama,Music",8.0,2016-12-09,20000000,151101803,426351163,577452966,557452966,2016,December,12,winter/holiday,Q4
571,tt1318514,riseoftheplanetoftheapes,105,"Action,Drama,Sci-Fi",7.6,2011-08-05,93000000,176760185,470986200,647746385,554746385,2011,August,8,summer,Q3
402,tt1216475,cars2,106,"Adventure,Animation,Comedy",6.2,2011-06-24,200000000,191450875,560155383,751606258,551606258,2011,June,6,summer,Q2
537,tt1291150,teenagemutantninjaturtles,101,"Action,Adventure,Comedy",5.8,2014-08-08,125000000,191204754,485004754,676209508,551209508,2014,August,8,summer,Q3
3123,tt5848272,ralphbreakstheinternet,112,"Adventure,Animation,Comedy",7.1,2018-11-21,175000000,201091711,524283695,725375406,550375406,2018,November,11,Fall,Q4
142,tt0892769,howtotrainyourdragon,98,"Action,Adventure,Animation",8.1,2010-03-26,165000000,217581232,494870992,712452224,547452224,2010,March,3,spring,Q1
2830,tt3731562,kongskullisland,118,"Action,Adventure,Fantasy",6.6,2017-03-10,185000000,168052812,561072059,729124871,544124871,2017,March,3,spring,Q1
2535,tt2872732,lucy,89,"Action,Sci-Fi,Thriller",6.4,2014-07-25,40000000,126573960,457507776,584081736,544081736,2014,July,7,summer,Q3
109,tt0816711,worldwarz,116,"Action,Adventure,Horror",7.0,2013-06-21,190000000,202359711,531514650,733874361,543874361,2013,June,6,summer,Q2
759,tt1436562,rio,96,"Adventure,Animation,Comedy",6.9,2011-04-15,90000000,143619809,487519809,631139618,541139618,2011,April,4,spring,Q2
3052,tt5013056,dunkirk,106,"Action,Drama,History",7.9,2017-07-21,150000000,190068280,499837368,689905648,539905648,2017,July,7,summer,Q3
95,tt0800320,clashofthetitans,106,"Action,Adventure,Fantasy",5.8,2010-04-01,125000000,163214888,493214888,656429776,531429776,2010,April,4,spring,Q2
16,tt0398286,tangled,100,"Adventure,Animation,Comedy",7.8,2010-11-24,260000000,200821936,586477240,787299176,527299176,2010,November,11,Fall,Q4
1196,tt1623205,ozthegreatandpowerful,130,"Adventure,Family,Fantasy",6.3,2013-03-08,200000000,234770996,490359051,725130047,525130047,2013,March,3,spring,Q1
2203,tt2267968,kungfupanda3,95,"Action,Adventure,Animation",7.1,2016-01-29,140000000,143528619,517599142,661127761,521127761,2016,January,1,winter/holiday,Q1
1523,tt1772341,wreckitralph,101,"Adventure,Animation,Comedy",7.7,2012-11-02,165000000,189412677,496511521,685924198,520924198,2012,November,11,Fall,Q4
2726,tt3385516,xmenapocalypse,144,"Action,Adventure,Sci-Fi",7.0,2016-05-27,178000000,155442489,542537546,697980035,519980035,2016,May,5,spring,Q2
2695,tt3371366,transformersthelastknight,154,"Action,Adventure,Sci-Fi",5.2,2017-06-21,217000000,130168683,602893340,733062023,516062023,2017,June,6,summer,Q2
1654,tt1853728,djangounchained,165,"Drama,Western",8.4,2012-12-25,100000000,162805434,449948323,612753757,512753757,2012,December,12,winter/holiday,Q4
709,tt1408101,startrekintodarkness,132,"Action,Adventure,Sci-Fi",7.7,2013-05-16,190000000,228778661,467381584,696160245,506160245,2013,May,5,spring,Q2
3142,tt6347308,aquietplace,80,Documentary,6.6,2018-04-06,17000000,188024361,334522294,522546655,505546655,2018,April,4,spring,Q2
1946,tt2126355,sanandreas,114,"Action,Adventure,Drama",6.1,2015-05-29,110000000,155190832,456258539,611449371,501449371,2015,May,5,spring,Q2
3019,tt4779682,themeg,113,"Action,Horror,Sci-Fi",5.7,2018-08-10,178000000,145443742,529530715,674974457,496974457,2018,August,8,summer,Q3
2291,tt2357291,rio2,101,"Adventure,Animation,Comedy",6.3,2014-04-11,130000000,131538435,492846291,624384726,494384726,2014,April,4,spring,Q2
3008,tt4701182,bumblebee,114,"Action,Adventure,Sci-Fi",6.9,2018-12-21,102000000,127195589,465195589,592391178,490391178,2018,December,12,winter/holiday,Q4
336,tt1155076,thekaratekid,140,"Action,Drama,Family",6.2,2010-06-11,40000000,176591618,351774938,528366556,488366556,2010,June,6,summer,Q2
2745,tt3450958,warfortheplanetoftheapes,140,"Action,Adventure,Drama",7.5,2017-07-14,152000000,146880162,489592267,636472429,484472429,2017,July,7,summer,Q3
97,tt0800369,thor,115,"Action,Adventure,Fantasy",7.0,2011-05-06,150000000,181030624,449326618,630357242,480357242,2011,May,5,spring,Q2
895,tt1485796,thegreatestshowman,105,"Biography,Drama,Musical",7.6,2017-12-20,84000000,174340174,386665550,561005724,477005724,2017,December,12,winter/holiday,Q4
2204,tt2267998,gonegirl,149,"Drama,Mystery,Thriller",8.1,2014-10-03,61000000,167767189,368567189,536334378,475334378,2014,October,10,Fall,Q4
2236,tt2294449,22jumpstreet,112,"Action,Comedy,Crime",7.0,2014-06-13,50000000,191719337,331333876,523053213,473053213,2014,June,6,summer,Q2
685,tt1397280,taken2,92,"Action,Thriller",6.3,2012-10-05,45000000,139854287,377807404,517661691,472661691,2012,October,10,Fall,Q4
2930,tt4196776,jasonbourne,123,"Action,Thriller",6.6,2016-07-29,120000000,162192920,416168316,578361236,458361236,2016,July,7,summer,Q3
