,tconst,movie,runtime_minutes,genres,average_rating,release_date,production_budget,domestic_gross,worldwide_gross,Collections,Profit,release_year,Month,release_month,release_season,release_quarter
2340,tt2398241,smurfsthelostvillage,90,"Adventure,Animation,Comedy",6.0,2017-04-07,60000000,45020282,197578586,242598868,182598868,2017,April,4,spring,Q2
1577,tt1815862,afterearth,100,"Action,Adventure,Drama",4.8,2013-05-31,130000000,60522097,251499665,312021762,182021762,2013,May,5,spring,Q2
446,tt1234721,robocop,117,"Action,Crime,Sci-Fi",6.2,2014-02-12,120000000,58607007,242981799,301588806,181588806,2014,February,2,winter/holiday,Q1
1078,tt1570728,crazystupidlove,118,"Comedy,Drama,Romance",7.4,2011-07-29,50000000,84351197,147142328,231493525,181493525,2011,July,7,summer,Q3
247,tt1051904,goosebumps,103,"Adventure,Comedy,Family",6.3,2015-10-16,58000000,80069458,158905324,238974782,180974782,2015,October,10,Fall,Q4
1744,tt1929263,heavenisforreal,99,"Biography,Drama,Family",5.8,2014-04-16,12000000,91386097,100916299,192302396,180302396,2014,April,4,spring,Q2
1656,tt1854564,percyjacksonseaofmonsters,106,"Adventure,Family,Fantasy",5.8,2013-08-07,90000000,68559554,200859554,269419108,179419108,2013,August,8,summer,Q3
2593,tt3062096,inferno,121,"Action,Adventure,Crime",6.2,2016-10-28,75000000,34343574,219519367,253862941,178862941,2016,October,10,Fall,Q4
356,tt1193631,stepup3d,107,"Drama,Music,Romance",6.2,2010-08-06,30000000,42400223,165889117,208289340,178289340,2010,August,8,summer,Q3
1538,tt1790885,zerodarkthirty,157,"Drama,Thriller",7.4,2012-12-19,52500000,95720716,134612435,230333151,177833151,2012,December,12,winter/holiday,Q4
2971,tt4555426,darkesthour,125,"Biography,Drama,History",7.4,2017-11-22,30000000,56443120,150807172,207250292,177250292,2017,November,11,Fall,Q4
1376,tt1706593,chronicle,84,"Drama,Sci-Fi,Thriller",7.1,2012-02-03,12000000,64575175,123681790,188256965,176256965,2012,February,2,winter/holiday,Q1
3075,tt5308322,happydeathday,96,"Horror,Mystery,Thriller",6.5,2017-10-13,5000000,55683845,125010260,180694105,175694105,2017,October,10,Fall,Q4
2530,tt2869728,ridealong2,102,"Action,Comedy,Crime",5.9,2016-01-15,40000000,90862685,124827316,215690001,175690001,2016,January,1,winter/holiday,Q1
1123,tt1596363,thebigshort,130,"Biography,Comedy,Drama",7.8,2015-12-11,28000000,70259870,133162752,203422622,175422622,2015,December,12,winter/holiday,Q4
347,tt1179933,10cloverfieldlane,103,"Drama,Horror,Mystery",7.2,2016-03-11,5000000,72082999,108286422,180369421,175369421,2016,March,3,spring,Q1
2205,tt2268016,magicmikexxl,115,"Comedy,Drama,Music",5.6,2015-07-01,14500000,66013057,123660597,189673654,175173654,2015,July,7,summer,Q3
1249,tt1645170,thedictator,83,Comedy,6.4,2012-05-16,65000000,59650222,180148897,239799119,174799119,2012,May,5,spring,Q2
2569,tt2975578,thepurgeanarchy,103,"Action,Horror,Sci-Fi",6.5,2014-07-18,9000000,71562550,111534881,183097431,174097431,2014,July,7,summer,Q3
876,tt1469304,baywatch,116,"Action,Comedy,Crime",5.6,2017-05-25,60000000,58060186,175863783,233923969,173923969,2017,May,5,spring,Q2
239,tt1037705,thebookofeli,118,"Action,Adventure,Drama",6.9,2010-01-15,80000000,94835059,158750817,253585876,173585876,2010,January,1,winter/holiday,Q1
246,tt1047540,parentalguidance,105,"Comedy,Family",6.1,2012-12-25,25000000,77267296,120832383,198099679,173099679,2012,December,12,winter/holiday,Q4
3144,tt6359956,abadmomschristmas,104,"Adventure,Comedy",5.5,2017-11-01,28000000,72110659,127710550,199821209,171821209,2017,November,11,Fall,Q4
2305,tt2369135,needforspeed,132,"Action,Crime,Thriller",6.5,2014-03-14,66000000,43568507,194169619,237738126,171738126,2014,March,3,spring,Q1
414,tt1222817,zookeeper,102,"Comedy,Family,Romance",5.2,2011-07-08,80000000,80360866,170805525,251166391,171166391,2011,July,7,summer,Q3
718,tt1412386,thebestexoticmarigoldhotel,124,"Comedy,Drama,Romance",7.3,2012-05-04,10000000,46383639,134639780,181023419,171023419,2012,May,5,spring,Q2
1124,tt1596365,thewomaninblack,95,"Drama,Fantasy,Horror",6.4,2012-02-03,15000000,54333290,128955898,183289188,168289188,2012,February,2,winter/holiday,Q1
262,tt1077368,darkshadows,113,"Comedy,Fantasy,Horror",6.2,2012-05-11,150000000,79727149,238202668,317929817,167929817,2012,May,5,spring,Q2
1227,tt1637688,intime,109,"Action,Crime,Drama",6.7,2011-10-28,35000000,37553932,165103952,202657884,167657884,2011,October,10,Fall,Q4
1558,tt1800741,stepuprevolution,99,"Drama,Music,Romance",6.5,2012-07-27,33000000,35074677,165552290,200626967,167626967,2012,July,7,summer,Q3
1220,tt1632708,friendswithbenefits,109,"Comedy,Romance",6.6,2011-07-22,35000000,55802754,146595891,202398645,167398645,2011,July,7,summer,Q3
1974,tt2177771,themonumentsmen,118,"Comedy,Drama,History",6.1,2014-02-07,70000000,78031620,158702748,236734368,166734368,2014,February,2,winter/holiday,Q1
1077,tt1568911,warhorse,146,"Drama,History,War",7.2,2011-12-25,70000000,79883359,156815529,236698888,166698888,2011,December,12,winter/holiday,Q4
1012,tt1535438,hopesprings,100,"Comedy,Drama,Romance",6.3,2012-08-08,30000000,63536011,133085295,196621306,166621306,2012,August,8,summer,Q3
1661,tt1856101,bladerunner2049,164,"Drama,Mystery,Sci-Fi",8.0,2017-10-06,185000000,92054159,259357408,351411567,166411567,2017,October,10,Fall,Q4
2360,tt2404435,themagnificentseven,132,"Action,Adventure,Western",6.9,2016-09-23,90000000,93432655,162525156,255957811,165957811,2016,September,9,Fall,Q3
1806,tt1981677,pitchperfect,112,"Comedy,Music,Romance",7.2,2012-09-28,17000000,65001093,116044347,181045440,164045440,2012,September,9,Fall,Q3
1952,tt2140373,savingmrbanks,125,"Biography,Comedy,Drama",7.5,2013-12-13,35000000,83299761,114962525,198262286,163262286,2013,December,12,winter/holiday,Q4
154,tt0945513,sourcecode,93,"Action,Drama,Sci-Fi",7.5,2011-04-01,32000000,54712227,140428499,195140726,163140726,2011,April,4,spring,Q2
1652,tt1850457,sisters,118,Comedy,6.0,2015-12-18,30000000,87044645,106030660,193075305,163075305,2015,December,12,winter/holiday,Q4
574,tt1320261,gulliverstravels,85,"Adventure,Comedy,Family",4.9,2010-12-25,112000000,42779261,232017848,274797109,162797109,2010,December,12,winter/holiday,Q4
2630,tt3195644,insidiouschapter3,97,"Horror,Mystery,Thriller",6.1,2015-06-05,10000000,52218558,120453155,172671713,162671713,2015,June,6,summer,Q2
1911,tt2091256,captainunderpantsthefirstepicmovie,89,"Action,Animation,Comedy",6.2,2017-06-02,38000000,73921000,126577874,200498874,162498874,2017,June,6,summer,Q2
883,tt1477076,saw3d,90,"Crime,Horror,Mystery",5.6,2010-10-29,17000000,45710178,133735284,179445462,162445462,2010,October,10,Fall,Q4
3147,tt6450186,icanonlyimagine,110,"Biography,Drama,Family",7.4,2018-03-16,7000000,83482352,85604221,169086573,162086573,2018,March,3,spring,Q1
38,tt0453562,42,128,"Biography,Drama,Sport",7.5,2013-04-12,31000000,95020213,97470701,192490914,161490914,2013,April,4,spring,Q2
1923,tt2103254,tammy,97,"Comedy,Romance",4.9,2014-07-02,20000000,84525432,96407655,180933087,160933087,2014,July,7,summer,Q3
2886,tt4052882,theshallows,86,"Drama,Horror,Thriller",6.3,2016-06-24,13000000,55121623,118763442,173885065,160885065,2016,June,6,summer,Q2
1587,tt1823664,annie,118,"Comedy,Drama,Family",5.3,2014-12-19,65000000,85911262,139829625,225740887,160740887,2014,December,12,winter/holiday,Q4
691,tt1401152,unknown,113,"Action,Mystery,Thriller",6.9,2011-02-18,40000000,63686397,136123083,199809480,159809480,2011,February,2,winter/holiday,Q1
1367,tt1702443,justinbieberneversaynever,105,"Documentary,Music",1.6,2011-02-11,13000000,73013910,99034125,172048035,159048035,2011,February,2,winter/holiday,Q1
1145,tt1605776,thevisit,90,"Comedy,Drama,Romance",8.3,2015-09-11,5000000,65206105,98677816,163883921,158883921,2015,September,9,Fall,Q3
769,tt1440129,battleship,131,"Action,Adventure,Sci-Fi",5.8,2012-05-18,220000000,65233400,313477717,378711117,158711117,2012,May,5,spring,Q2
2729,tt3393786,jackreachernevergoback,118,"Action,Thriller",6.1,2016-10-21,60000000,58697076,159946489,218643565,158643565,2016,October,10,Fall,Q4
241,tt1038919,thebountyhunter,110,"Action,Comedy,Romance",5.6,2010-03-19,45000000,67061228,135808837,202870065,157870065,2010,March,3,spring,Q1
1194,tt1622979,finaldestination5,92,Horror,5.9,2011-08-12,40000000,42587643,155011165,197598808,157598808,2011,August,8,summer,Q3
2316,tt2381941,focus,105,"Comedy,Crime,Drama",6.6,2015-02-27,65000000,53862963,168065700,221928663,156928663,2015,February,2,winter/holiday,Q1
1271,tt1655442,theartist,100,"Comedy,Drama,Romance",7.9,2011-11-25,16000000,44667095,128256712,172923807,156923807,2011,November,11,Fall,Q4
2419,tt2561572,gethard,100,"Comedy,Crime",6.0,2015-03-27,40000000,90411453,106511453,196922906,156922906,2015,March,3,spring,Q1
1582,tt1821658,thenutjob,85,"Adventure,Animation,Comedy",5.7,2014-01-17,30000000,64251538,122529966,186781504,156781504,2014,January,1,winter/holiday,Q1
6,tt0359950,thesecretlifeofwaltermitty,114,"Adventure,Comedy,Drama",7.3,2013-12-25,91000000,58236838,187861183,246098021,155098021,2013,December,12,winter/holiday,Q4
1936,tt2119543,thehousewithaclockinitswalls,105,"Comedy,Fantasy,Horror",6.0,2018-09-21,40000000,68549695,126331750,194881445,154881445,2018,September,9,Fall,Q3
1804,tt1981128,geostorm,109,"Action,Sci-Fi,Thriller",5.3,2017-10-20,100000000,33700160,220796009,254496169,154496169,2017,October,10,Fall,Q4
25,tt0436230,thedevilinside,104,"Horror,Thriller",6.7,2012-01-06,1000000,53262945,101759490,155022435,154022435,2012,January,1,winter/holiday,Q1
1125,tt1597044,mirrormirror,83,"Fantasy,Sci-Fi,Thriller",5.8,2012-03-30,85000000,64935167,173613482,238548649,153548649,2012,March,3,spring,Q1
1127,tt1598778,contagion,106,"Action,Drama,Thriller",6.6,2011-09-09,60000000,75658097,137551594,213209691,153209691,2011,September,9,Fall,Q3
1988,tt2184339,thepurge,85,"Horror,Thriller",5.7,2013-06-07,3000000,64473115,91266581,155739696,152739696,2013,June,6,summer,Q2
914,tt1496025,underworldawakening,88,"Action,Fantasy,Horror",6.4,2012-01-20,70000000,62321039,160379930,222700969,152700969,2012,January,1,winter/holiday,Q1
1114,tt1591095,insidious,103,"Horror,Mystery,Thriller",6.9,2011-04-01,1500000,54009150,99870886,153880036,152380036,2011,April,4,spring,Q2
52,tt0477080,unstoppable,98,"Action,Thriller",6.8,2010-11-12,95000000,81562942,165720921,247283863,152283863,2010,November,11,Fall,Q4
1106,tt1588173,warmbodies,98,"Comedy,Horror,Romance",6.9,2013-02-01,30000000,66380662,115121608,181502270,151502270,2013,February,2,winter/holiday,Q1
3095,tt5599520,nightschool,85,Documentary,7.2,2018-09-28,29000000,77339130,103008792,180347922,151347922,2018,September,9,Fall,Q3
870,tt1464540,iamnumberfour,111,"Action,Adventure,Sci-Fi",6.1,2011-02-18,50000000,55100437,146195159,201295596,151295596,2011,February,2,winter/holiday,Q1
3010,tt4727712,bookclub,72,Documentary,6.6,2018-05-18,10000000,68566296,91113683,159679979,149679979,2018,May,5,spring,Q2
2489,tt2704998,gamenight,100,"Action,Comedy,Crime",7.0,2018-02-23,37000000,69179066,117378084,186557150,149557150,2018,February,2,winter/holiday,Q1
367,tt1204977,ouija,89,"Horror,Mystery,Thriller",4.5,2014-10-24,5000000,50856010,103300632,154156642,149156642,2014,October,10,Fall,Q4
366,tt1204975,lastvegas,105,"Comedy,Drama",6.6,2013-01-28,28000000,63914167,112914167,176828334,148828334,2013,January,1,winter/holiday,Q1
2273,tt2333784,theexpendables3,126,"Action,Adventure,Thriller",6.1,2014-08-15,100000000,39322544,209461378,248783922,148783922,2014,August,8,summer,Q3
1925,tt2106361,intothestorm,89,"Action,Adventure,Drama",5.8,2014-08-08,50000000,47602194,150429371,198031565,148031565,2014,August,8,summer,Q3
516,tt1272878,2guns,109,"Action,Comedy,Crime",6.7,2013-08-02,61000000,75612460,132493015,208105475,147105475,2013,August,8,summer,Q3
1122,tt1596350,thismeanswar,103,"Action,Comedy,Romance",6.3,2012-02-17,65000000,54760791,156974557,211735348,146735348,2012,February,2,winter/holiday,Q1
345,tt1179056,anightmareonelmstreet,95,"Crime,Drama,Horror",5.2,2010-04-30,35000000,63075011,117729621,180804632,145804632,2010,April,4,spring,Q2
1225,tt1636826,projectx,88,Comedy,6.7,2012-03-02,12000000,54731865,103028188,157760053,145760053,2012,March,3,spring,Q1
664,tt1386703,totalrecall,118,"Action,Adventure,Mystery",6.3,2012-08-03,125000000,58877969,211856088,270734057,145734057,2012,August,8,summer,Q3
101,tt0810913,jackandjill,91,Comedy,3.3,2011-11-11,79000000,74158157,150519217,224677374,145677374,2011,November,11,Fall,Q4
20,tt0429493,theateam,117,"Action,Adventure,Thriller",6.8,2010-06-11,110000000,77222099,177241171,254463270,144463270,2010,June,6,summer,Q2
668,tt1389137,weboughtazoo,124,"Comedy,Drama,Family",7.1,2011-12-23,50000000,75624550,118729073,194353623,144353623,2011,December,12,winter/holiday,Q4
2573,tt2980516,thetheoryofeverything,123,"Biography,Drama,Romance",7.7,2014-11-07,15000000,35893537,123327692,159221229,144221229,2014,November,11,Fall,Q4
258,tt1071875,ghostriderspiritofvengeance,96,"Action,Fantasy,Thriller",4.3,2012-02-17,57000000,51774002,149217355,200991357,143991357,2012,February,2,winter/holiday,Q1
48,tt0471042,towerheist,104,"Action,Comedy,Crime",6.2,2011-11-04,85000000,78046570,150422946,228469516,143469516,2011,November,11,Fall,Q4
2744,tt3450650,paulblartmallcop2,94,"Action,Comedy,Crime",4.4,2015-04-17,38000000,71091594,107650646,178742240,140742240,2015,April,4,spring,Q2
1115,tt1591479,actofvalor,110,"Action,Adventure,Drama",6.5,2012-02-24,12000000,70012847,82497035,152509882,140509882,2012,February,2,winter/holiday,Q1
1350,tt1698641,alexanderandtheterriblehorriblenogoodverybadday,81,"Comedy,Family",6.2,2014-10-10,28000000,66954149,101379287,168333436,140333436,2014,October,10,Fall,Q4
1169,tt1615160,theforeigner,113,"Action,Thriller",7.0,2017-10-13,35000000,34393507,140783360,175176867,140176867,2017,October,10,Fall,Q4
2750,tt3460252,thehatefuleight,168,"Crime,Drama,Mystery",7.8,2015-12-25,62000000,54117416,147864886,201982302,139982302,2015,December,12,winter/holiday,Q4
2308,tt2378281,noseaceptandevoluciones,115,"Comedy,Drama",7.6,2013-08-30,5000000,44467206,100486616,144953822,139953822,2013,August,8,summer,Q3
980,tt1524137,contraband,109,"Action,Crime,Drama",6.5,2012-01-13,25000000,66528000,98406855,164934855,139934855,2012,January,1,winter/holiday,Q1
2962,tt4501244,whyhim,111,Comedy,6.2,2016-12-23,38000000,60323786,117425156,177748942,139748942,2016,December,12,winter/holiday,Q4
740,tt1424381,predators,107,"Action,Adventure,Sci-Fi",6.4,2010-07-09,40000000,52000688,127234389,179235077,139235077,2010,July,7,summer,Q3
660,tt1385826,theadjustmentbureau,106,"Romance,Sci-Fi,Thriller",7.1,2011-03-04,50200000,62495645,126931325,189426970,139226970,2011,March,3,spring,Q1
3173,tt7401588,instantfamily,118,"Comedy,Drama",7.4,2018-11-16,48000000,67363237,119736188,187099425,139099425,2018,November,11,Fall,Q4
2854,tt3832914,warroom,120,Drama,6.5,2015-08-28,3000000,67790117,73975239,141765356,138765356,2015,August,8,summer,Q3
253,tt1067583,waterforelephants,120,"Drama,Romance",6.9,2011-04-22,38000000,58709717,116809717,175519434,137519434,2011,April,4,spring,Q2
1366,tt1702439,safehaven,115,"Drama,Romance,Thriller",6.7,2013-02-14,28000000,71399120,94050951,165450071,137450071,2013,February,2,winter/holiday,Q1
2781,tt3532216,americanmade,115,"Action,Biography,Comedy",7.2,2017-09-29,50000000,51342000,135569212,186911212,136911212,2017,September,9,Fall,Q3
383,tt1210166,moneyball,133,"Biography,Drama,Sport",7.6,2011-09-23,50000000,75605492,111300835,186906327,136906327,2011,September,9,Fall,Q3
315,tt1133985,greenlantern,114,"Action,Adventure,Sci-Fi",5.5,2011-06-17,200000000,116601172,219535492,336136664,136136664,2011,June,6,summer,Q2
543,tt1294226,thelastsong,107,"Drama,Music,Romance",6.0,2010-03-31,20000000,62950384,92678948,155629332,135629332,2010,March,3,spring,Q1
533,tt1288558,evildead,91,"Fantasy,Horror,Thriller",6.5,2013-04-05,17000000,54239856,97778356,152018212,135018212,2013,April,4,spring,Q2
2836,tt3760922,mybigfatgreekwedding2,94,"Comedy,Romance",6.0,2016-03-25,18000000,59689605,92096558,151786163,133786163,2016,March,3,spring,Q1
2406,tt2531344,blockers,102,Comedy,6.2,2018-04-06,21000000,60311495,94045328,154356823,133356823,2018,April,4,spring,Q2
1606,tt1838722,truthordare,96,"Horror,Mystery",5.6,2018-04-13,3500000,41411015,95127344,136538359,133038359,2018,April,4,spring,Q2
1742,tt1922777,sinister,110,"Horror,Mystery,Thriller",6.8,2012-10-12,3000000,48086903,87727807,135814710,132814710,2012,October,10,Fall,Q4
595,tt1327194,theluckyone,101,"Drama,Romance",6.5,2012-04-20,25000000,60457138,96633833,157090971,132090971,2012,April,4,spring,Q2
205,tt1007029,theironlady,105,"Biography,Drama",6.4,2012-01-13,14000000,29959436,115592104,145551540,131551540,2012,January,1,winter/holiday,Q1
1067,tt1564349,dolphintale,113,"Drama,Family",6.9,2011-09-23,37000000,72286779,96068724,168355503,131355503,2011,September,9,Fall,Q3
3161,tt7040874,asimplefavor,117,"Comedy,Crime,Drama",6.9,2018-09-14,20000000,53548586,97628717,151177303,131177303,2018,September,9,Fall,Q3
1188,tt1620680,awrinkleintime,109,"Adventure,Family,Fantasy",4.2,2018-03-09,103000000,100478608,133401882,233880490,130880490,2018,March,3,spring,Q1
2693,tt3348730,jigsaw,92,"Crime,Horror,Mystery",5.8,2017-10-27,10000000,38052832,102445196,140498028,130498028,2017,October,10,Fall,Q4
982,tt1524930,vacation,99,"Adventure,Comedy",6.1,2015-07-29,31000000,58884188,102306500,161190688,130190688,2015,July,7,summer,Q3
1777,tt1964418,tomorrowland,130,"Action,Adventure,Family",6.4,2015-05-22,170000000,93436322,206627518,300063840,130063840,2015,May,5,spring,Q2
269,tt1086772,blended,117,"Comedy,Romance",6.5,2014-05-23,45000000,46290741,127990741,174281482,129281482,2014,May,5,spring,Q2
1664,tt1860213,dirtygrandpa,102,Comedy,5.9,2016-01-22,11500000,35593113,105078449,140671562,129171562,2016,January,1,winter/holiday,Q1
2957,tt4438848,neighbors2sororityrising,92,Comedy,5.7,2016-05-20,35000000,55340730,108757621,164098351,129098351,2016,May,5,spring,Q2
2276,tt2334879,whitehousedown,131,"Action,Drama,Thriller",6.4,2013-06-28,150000000,73103784,205440387,278544171,128544171,2013,June,6,summer,Q2
678,tt1392214,prisoners,153,"Crime,Drama,Mystery",8.1,2013-09-20,46000000,61002302,113402302,174404604,128404604,2013,September,9,Fall,Q3
1224,tt1634122,johnnyenglishreborn,101,"Action,Adventure,Comedy",6.3,2011-10-21,45000000,8406711,164640401,173047112,128047112,2011,October,10,Fall,Q4
3170,tt7349662,blackkklansman,135,"Biography,Crime,Drama",7.5,2018-08-10,15000000,49275340,93017335,142292675,127292675,2018,August,8,summer,Q3
528,tt1282140,easya,92,"Comedy,Drama,Romance",7.1,2010-09-17,8000000,58401464,76200721,134602185,126602185,2010,September,9,Fall,Q3
2574,tt2980648,thehundredfootjourney,122,"Comedy,Drama",7.3,2014-08-08,22000000,54235441,94270488,148505929,126505929,2014,August,8,summer,Q3
1907,tt2083355,thebestmanholiday,123,"Comedy,Drama",6.7,2013-11-15,17000000,70525195,72835710,143360905,126360905,2013,November,11,Fall,Q4
360,tt1196141,diaryofawimpykid,94,"Comedy,Drama,Family",6.2,2010-03-19,15000000,64003625,76954311,140957936,125957936,2010,March,3,spring,Q1
2369,tt2431286,philomena,98,"Biography,Comedy,Drama",7.6,2013-11-22,12000000,37709979,98963392,136673371,124673371,2013,November,11,Fall,Q4
100,tt0808510,toothfairy,101,"Comedy,Family,Fantasy",5.0,2010-01-22,48000000,60022256,112610386,172632642,124632642,2010,January,1,winter/holiday,Q1
1772,tt1956620,sextape,94,"Comedy,Romance",5.1,2014-07-18,40000000,38543473,126069509,164612982,124612982,2014,July,7,summer,Q3
2537,tt2873282,redsparrow,140,"Action,Drama,Thriller",6.6,2018-03-02,69000000,46874505,145951861,192826366,123826366,2018,March,3,spring,Q1
1066,tt1563742,overboard,112,"Comedy,Romance",5.9,2018-05-04,12000000,50316123,85369830,135685953,123685953,2018,May,5,spring,Q2
1499,tt1758830,thisis40,134,"Comedy,Romance",6.2,2012-12-21,35000000,67544505,90221182,157765687,122765687,2012,December,12,winter/holiday,Q4
2851,tt3829266,thepredator,107,"Action,Adventure,Sci-Fi",5.4,2018-09-14,88000000,51024708,159487563,210512271,122512271,2018,September,9,Fall,Q3
2937,tt4257926,miraclesfromheaven,109,"Biography,Drama,Family",7.1,2016-03-16,13000000,61705123,73798736,135503859,122503859,2016,March,3,spring,Q1
368,tt1205537,jackryanshadowrecruit,105,"Action,Drama,Thriller",6.2,2014-01-17,60000000,50577412,131377412,181954824,121954824,2014,January,1,winter/holiday,Q1
139,tt0884732,theweddingringer,101,Comedy,6.7,2015-01-16,23000000,64460211,80171596,144631807,121631807,2015,January,1,winter/holiday,Q1
251,tt1055292,lifeasweknowit,114,"Comedy,Drama,Romance",6.6,2010-10-08,38000000,53374681,105887837,159262518,121262518,2010,October,10,Fall,Q4
177,tt0963966,thesorcerersapprentice,109,"Action,Adventure,Family",6.1,2010-07-14,160000000,63150991,217986320,281137311,121137311,2010,July,7,summer,Q3
1965,tt2170439,horriblebosses2,108,"Comedy,Crime",6.3,2014-11-26,40000000,54445357,105945357,160390714,120390714,2014,November,11,Fall,Q4
2362,tt2406566,atomicblonde,115,"Action,Mystery,Thriller",6.7,2017-07-28,30000000,51573925,98345423,149919348,119919348,2017,July,7,summer,Q3
2382,tt2473682,paranormalactivitythemarkedones,84,"Horror,Mystery,Thriller",5.0,2014-01-03,5000000,32462372,90904854,123367226,118367226,2014,January,1,winter/holiday,Q1
2275,tt2334873,bluejasmine,98,Drama,7.3,2013-07-26,18000000,33404871,102912961,136317832,118317832,2013,July,7,summer,Q3
21,tt0431021,thepossession,92,"Horror,Mystery,Thriller",5.9,2012-08-31,14000000,49130588,82925064,132055652,118055652,2012,August,8,summer,Q3
626,tt1355630,ifistay,107,"Drama,Fantasy,Music",6.8,2014-08-22,11000000,50474843,78356170,128831013,117831013,2014,August,8,summer,Q3
481,tt1250777,kickass,117,"Action,Comedy",7.6,2010-04-16,28000000,48071303,97531134,145602437,117602437,2010,April,4,spring,Q2
3037,tt4925292,ladybird,94,"Comedy,Drama",7.4,2017-11-03,10000000,48958273,78610769,127569042,117569042,2017,November,11,Fall,Q4
1717,tt1895587,spotlight,129,"Crime,Drama",8.1,2015-11-06,20000000,45055776,92088460,137144236,117144236,2015,November,11,Fall,Q4
2882,tt4034228,manchesterbythesea,137,Drama,7.8,2016-11-18,8500000,47695371,77733867,125429238,116929238,2016,November,11,Fall,Q4
1548,tt1798684,southpaw,124,"Drama,Sport",7.4,2015-07-24,30000000,52421953,94156456,146578409,116578409,2015,July,7,summer,Q3
2817,tt3691740,thebfg,117,"Adventure,Family,Fantasy",6.4,2016-07-01,140000000,55483770,199646680,255130450,115130450,2016,July,7,summer,Q3
3059,tt5083738,thefavourite,119,"Biography,Drama,History",7.6,2018-11-23,15000000,34366783,94113929,128480712,113480712,2018,November,11,Fall,Q4
2415,tt2555736,thesecondbestexoticmarigoldhotel,122,"Comedy,Drama",6.6,2015-03-06,10000000,33078266,90384306,123462572,113462572,2015,March,3,spring,Q1
2487,tt2702724,theboss,99,Comedy,5.4,2016-04-08,29000000,63077560,78652207,141729767,112729767,2016,April,4,spring,Q2
415,tt1226229,gethimtothegreek,109,"Adventure,Comedy,Music",6.4,2010-06-04,40000000,61153526,91455875,152609401,112609401,2010,June,6,summer,Q2
2580,tt3014284,thelegoninjagomovie,101,"Action,Adventure,Animation",6.0,2017-09-22,70000000,59281555,122737201,182018756,112018756,2017,September,9,Fall,Q3
744,tt1430607,arthurchristmas,97,"Adventure,Animation,Comedy",7.1,2011-11-23,85000000,46462469,149717124,196179593,111179593,2011,November,11,Fall,Q4
1191,tt1621039,freebirds,91,"Adventure,Animation,Comedy",5.9,2013-11-01,55000000,55750480,110387072,166137552,111137552,2013,November,11,Fall,Q4
2162,tt2239832,thinklikeamantoo,106,"Comedy,Romance",5.8,2014-06-20,24000000,65028687,70027933,135056620,111056620,2014,June,6,summer,Q2
1583,tt1821694,red2,116,"Action,Comedy,Crime",6.6,2013-07-19,84000000,53262560,141507355,194769915,110769915,2013,July,7,summer,Q3
541,tt1292566,howtobesingle,110,"Comedy,Drama,Romance",6.1,2016-02-12,37000000,46843513,100003780,146847293,109847293,2016,February,2,winter/holiday,Q1
572,tt1320244,thelastexorcism,87,"Drama,Horror,Thriller",5.6,2010-08-27,1800000,41034350,70165900,111200250,109400250,2010,August,8,summer,Q3
1729,tt1911644,thecall,94,"Crime,Drama,Horror",6.7,2013-03-15,12800000,51872378,69821476,121693854,108893854,2013,March,3,spring,Q1
1572,tt1805411,sonofgod,80,Documentary,6.8,2014-02-28,22000000,59700064,70949793,130649857,108649857,2014,February,2,winter/holiday,Q1
630,tt1355683,blackmass,123,"Biography,Crime,Drama",6.9,2015-09-18,53000000,62575678,98837872,161413550,108413550,2015,September,9,Fall,Q3
1264,tt1650043,diaryofawimpykidrodrickrules,99,"Comedy,Family",6.6,2011-03-25,18000000,52698535,73695194,126393729,108393729,2011,March,3,spring,Q1
3155,tt6791096,ifeelpretty,110,"Comedy,Romance",5.4,2018-04-20,32000000,48795601,91553797,140349398,108349398,2018,April,4,spring,Q2
2249,tt2304933,the5thwave,112,"Action,Adventure,Drama",5.2,2016-01-22,38000000,34912982,111336398,146249380,108249380,2016,January,1,winter/holiday,Q1
229,tt1029360,poltergeist,93,"Horror,Thriller",4.9,2015-05-22,35000000,47425125,95713069,143138194,108138194,2015,May,5,spring,Q2
2950,tt4361050,ouijaoriginofevil,99,"Drama,Horror,Mystery",6.1,2016-10-21,9000000,35144505,81831866,116976371,107976371,2016,October,10,Fall,Q4
2821,tt3717490,powerrangers,124,"Action,Adventure,Sci-Fi",6.0,2017-03-24,120000000,85364450,142531552,227896002,107896002,2017,March,3,spring,Q1
1138,tt1601913,thegrey,117,"Action,Adventure,Drama",6.8,2012-01-27,25000000,51580136,81249176,132829312,107829312,2012,January,1,winter/holiday,Q1
1162,tt1611224,abrahamlincolnvampirehunter,105,"Action,Fantasy,Horror",5.9,2012-06-22,67500000,37519139,137489730,175008869,107508869,2012,June,6,summer,Q2
2163,tt2241351,moneymonster,98,"Crime,Drama,Thriller",6.5,2016-05-13,27000000,41012075,93466095,134478170,107478170,2016,May,5,spring,Q2
2802,tt3622592,papertowns,109,"Comedy,Drama,Mystery",6.3,2015-07-24,12000000,32000304,85450484,117450788,105450788,2015,July,7,summer,Q3
141,tt0892318,letterstojuliet,105,"Adventure,Comedy,Drama",6.6,2010-05-14,30000000,53032453,82148538,135180991,105180991,2010,May,5,spring,Q2
354,tt1189340,thelincolnlawyer,118,"Crime,Drama,Thriller",7.3,2011-03-18,40000000,58009200,87145086,145154286,105154286,2011,March,3,spring,Q1
