movie,release_date,production_budget,domestic_gross,worldwide_gross
harry potter and the order of the phoenix,2007-07-11,150000000,292137260,943076457
harry potter and the goblet of fire,2005-11-18,150000000,290201752,897099794
the matrix reloaded,2003-05-15,150000000,281553689,738576929
i am legend,2007-12-14,150000000,256393010,585532684
moana,2016-11-23,150000000,248757044,637517365
hancock,2008-07-01,150000000,227946274,624234272
charlie and the chocolate factory,2005-07-15,150000000,206459076,475825484
ratatouille,2007-06-29,150000000,206445654,626549695
thor: the dark world,2013-11-08,150000000,206362140,644602516
batman begins,2005-06-15,150000000,205343774,359142722
mission: impossibleârogue nation,2015-07-31,150000000,195042377,688858992
dunkirk,2017-07-21,150000000,190068280,499837368
thor,2011-05-06,150000000,181030624,449326618
madagascar: escape 2 africa,2008-11-07,150000000,180174880,599680774
x-men origins: wolverine,2009-05-01,150000000,179883157,374825760
night at the museum: battle of the smithsonian,2009-05-22,150000000,177243721,402231063
kung fu panda 2,2011-05-26,150000000,165249063,664837547
mad max: fury road,2015-05-15,150000000,153636354,370098020
pokã©mon: detective pikachu,2019-05-10,150000000,139507806,411258433
the matrix revolutions,2003-11-05,150000000,139270910,427300260
ready player one,2018-03-29,150000000,137690172,579290136
chicken little,2005-11-04,150000000,135386665,310043823
mission: impossible iii,2006-05-05,150000000,133501348,397501348
angels & demons,2009-05-15,150000000,133375846,490875846
troy,2004-05-14,150000000,133298577,484161265
the last airbender,2010-07-01,150000000,131772187,319713881
bee movie,2007-11-02,150000000,126631277,287594577
g-force,2009-07-24,150000000,119436770,292817841
bolt,2008-11-21,150000000,114053579,328015029
wrath of the titans,2012-03-30,150000000,83670083,305270083
beowulf,2007-11-16,150000000,82280579,195080579
dark shadows,2012-05-11,150000000,79727149,238202668
white house down,2013-06-28,150000000,73103784,205440387
the wolfman,2010-02-12,150000000,62189884,142634358
the great wall,2017-02-17,150000000,45157105,334486852
pan,2015-10-09,150000000,35088320,151525973
mars needs moms,2011-03-11,150000000,21392758,39549758
moonfall,2020-12-31,150000000,0,0
flushed away,2006-11-03,149000000,64665672,179357126
madagascar 3: europe's most wanted,2012-06-08,145000000,216391482,746921271
mission: impossibleâghost protocol,2011-12-16,145000000,209397903,694713230
how to train your dragon 2,2014-06-13,145000000,177002924,614586270
tarzan,1999-06-16,145000000,171091819,448191819
mr. peabody & sherman,2014-03-07,145000000,111506430,269806430
rise of the guardians,2012-11-21,145000000,103412758,306900902
sahara,2005-04-08,145000000,68671925,121671925
ghostbusters,2016-07-15,144000000,128350574,229008658
die another day,2002-11-22,142000000,160942139,431942139
pirates of the caribbean: the curse of the black pearl,2003-07-09,140000000,305411224,634954103
star trek,2009-05-08,140000000,257730019,386839614
armageddon,1998-07-01,140000000,201578182,554600000
men in black 2,2002-07-03,140000000,190418803,441767803
captain america: the first avenger,2011-07-22,140000000,176654505,370569776
kung fu panda 3,2016-01-29,140000000,143528619,517599142
lethal weapon 4,1998-07-10,140000000,130444603,285400000
g.i. joe: retaliation,2013-03-27,140000000,122523060,375740705
the last samurai,2003-12-05,140000000,111110575,456810575
fun with dick and jane,2005-12-21,140000000,110550000,203018919
exodus: gods and kings,2014-12-12,140000000,65014513,268314513
the bfg,2016-07-01,140000000,55483770,199646680
gods of egypt,2016-02-26,140000000,31153464,138836756
spider-man,2002-05-03,139000000,403706375,821706375
watchmen,2009-03-06,138000000,107509799,186976250
stealth,2005-07-29,138000000,32116746,76416746
the incredible hulk,2008-06-13,137500000,134806913,265573859
hulk,2003-06-20,137000000,132177234,245075434
final fantasy: the spirits within,2001-07-11,137000000,32131830,85131830
"the twilight saga: breaking dawn, part 2",2012-11-16,136200000,292324737,829724737
the croods,2013-03-22,135000000,187168425,573068425
the revenant,2015-12-25,135000000,183637894,532938302
the world is not enough,1999-11-19,135000000,126930660,361730660
rango,2011-03-04,135000000,123477607,245724600
master and commander: the far side of the world,2003-11-14,135000000,93926386,212912137
turbo,2013-07-17,135000000,83028130,286896578
teenage mutant ninja turtles: out of the shadows,2016-06-03,135000000,82051601,245328374
happy feet two,2011-11-18,135000000,64006466,157956466
miami vice,2006-07-28,135000000,63478838,163818556
the nutcracker and the four realms,2018-11-02,132900000,54858851,170293899
war of the worlds,2005-06-29,132000000,234280354,606836535
penguins of madagascar,2014-11-26,132000000,83350911,366942531
the hunger games: catching fire,2013-11-22,130000000,424668047,864868047
harry potter and the prisoner of azkaban,2004-06-04,130000000,249757726,796907323
the bourne ultimatum,2007-08-03,130000000,227471070,444043396
ant-man and the wasp,2018-07-06,130000000,216648740,623144660
kung fu panda,2008-06-06,130000000,215434591,631910531
ant-man,2015-07-17,130000000,180202163,518858449
home,2015-03-27,130000000,177397510,385997896
mary poppins returns,2018-12-19,130000000,171958438,341528518
puss in boots,2011-10-28,130000000,149260504,554987477
megamind,2010-11-05,130000000,148415853,321887208
bad boys ii,2003-07-18,130000000,138540870,273271982
rio 2,2014-04-11,130000000,131538435,492846291
salt,2010-07-23,130000000,118311368,290650494
noah,2014-03-28,130000000,101200044,352831065
the adventures of tintin,2011-12-21,130000000,77591831,373993951
after earth,2013-05-31,130000000,60522097,251499665
australia,2008-11-26,130000000,49554002,215080810
r.i.p.d.,2013-07-19,130000000,33618855,79076678
how to train your dragon: the hidden world,2019-02-22,129000000,160791800,519258283
"the twilight saga: breaking dawn, part 1",2011-11-18,127500000,281287133,689420051
dinosaur,2000-05-19,127500000,137748063,356148063
logan,2017-03-03,127000000,226277068,615461394
night at the museum: secret of the tomb,2014-12-19,127000000,113746621,353756621
harry potter and the deathly hallows: part ii,2011-07-15,125000000,381193157,1341693157
the hunger games: mockingjay - part 1,2014-11-21,125000000,337135885,766575131
harry potter and the sorcererâs stone,2001-11-16,125000000,317871467,975047606
harry potter and the deathly hallows: part i,2010-11-19,125000000,296131568,960431568
the da vinci code,2006-05-19,125000000,217536138,767820459
x-men 2,2003-05-02,125000000,214949694,406875536
fast five,2011-04-29,125000000,210031325,630163454
teenage mutant ninja turtles,2014-08-08,125000000,191204754,485004754
sherlock holmes: a game of shadows,2011-12-16,125000000,186848418,535663443
the day after tomorrow,2004-05-28,125000000,186740799,556319450
the boss baby,2017-03-31,125000000,175003033,510878762
clash of the titans,2010-04-01,125000000,163214888,493214888
trolls,2016-11-04,125000000,153707064,344150134
godzilla,1998-05-19,125000000,136314294,376000000
prometheus,2012-06-08,125000000,126477084,402448265
the bourne legacy,2012-08-10,125000000,113203870,280355920
batman & robin,1997-06-20,125000000,107325195,238317814
skyscraper,2018-07-13,125000000,68420120,304115534
total recall,2012-08-03,125000000,58877969,211856088
assassinâs creed,2016-12-21,125000000,54647948,240759682
monster trucks,2017-01-13,125000000,33370166,61642798
the 13th warrior,1999-08-27,125000000,32698899,61698899
how the grinch stole christmas,2000-11-17,123000000,260044825,345141403
mission: impossible 2,2000-05-24,120000000,215409889,549588516
the perfect storm,2000-06-30,120000000,182618434,328711434
jason bourne,2016-07-29,120000000,162192920,416168316
fantastic four: rise of the silver surfer,2007-06-15,120000000,131921738,289480691
